ore	['voiced, dental-alveolar, oral, flap']
oro	['voiced, dental-alveolar, oral, flap']
ota	['voiceless, dental, oral, stop']
pā	['voiceless, bilabial, oral, stop']
pae	['voiceless, bilabial, oral, stop']
pāera	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
pāhua	['voiceless, bilabial, oral, stop', 'voiceless, glottal, oral, fricative']
pai	['voiceless, bilabial, oral, stop']
paihere	['voiceless, bilabial, oral, stop', 'voiceless, glottal, oral, fricative', 'voiced, dental-alveolar, oral, flap']
paikarāihe	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, glottal, oral, fricative']
pāike	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop']
paka	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop']
pakanga	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop', 'voiced, velar, nasal, stop']
pākaru	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
pākarukaru	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop', 'voiced, dental-alveolar, oral, flap']
pākawe	['voiceless, bilabial, oral, stop', 'voiceless, velar, oral, stop', 'voiced, bilabial, oral, approximant']
pana	['voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
panga	['voiceless, bilabial, oral, stop', 'voiced, velar, nasal, stop']
pani	['voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
panipani	['voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop', 'voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
pānui	['voiceless, bilabial, oral, stop', 'voiced, dental, nasal, stop']
pao	['voiceless, bilabial, oral, stop']
paora	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
paoro	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
parai	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
parakitihi	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiceless, velar, oral, stop', 'voiceless, dental, oral, stop', 'voiceless, glottal, oral, fricative']
parani	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap', 'voiced, dental, nasal, stop']
parau	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
pare	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
paro	['voiceless, bilabial, oral, stop', 'voiced, dental-alveolar, oral, flap']
pātai	['voiceless, bilabial, oral, stop', 'voiceless, dental, oral, stop']
